,Make,count
544,AEROSPATIALE,2
545,PZL OKECIE,2
546,WILLIAMS,2
547,PECK,2
548,JIHLAVAN AIRPLANES SRO,2
549,QUICKSILVER MANUFACTURING INC,2
550,FETHEROLF,2
551,KUCKLICK,2
552,FOUGA,2
553,ROBINSON MICHAEL E,2
554,ALLEN,2
555,ANDREWS,2
556,BORDELON,2
557,MEUER MARK,2
558,PIEL,2
559,FAIRCHILD HELI-PORTER,2
560,MIKOYAN GUREVICH,2
561,BIRCHLER BOYD,2
562,CLASSIC AIRCRAFT CORP.,2
563,WAG-AERO,2
564,MURRAY,2
565,COLLINS,2
566,OLSON,2
567,GRAY,2
568,KINNER,2
569,MCCLISH,2
570,GUNNOE,2
571,STANTON,2
572,DEVEREUX,2
573,AYERS,2
574,BAILEY,2
575,BYLER,2
576,EADS SOCATA,2
577,BELCHER WILLIAM B II,2
578,2021FX3 LLC,2
579,HUDSON,2
580,GALLAGHER,2
581,ROCKWELL COMMANDER,2
582,HI-MAX,2
583,TAYLOR,2
584,AMATEUR BUILT,2
585,M-SQUARED AIRCRAFT,2
586,BOWERS FLY BABY,2
587,AMERICAN LEGEND AIRCRAFT CO.,2
588,MERCER,2
589,WSK-PZL WARZAWA-OKECIE,2
590,CHANCE VOUGHT,2
591,VASHON AIRCRAFT,2
592,WESTON,2
593,RICE,2
594,PARKER,2
595,PROBST,2
596,EMBRAER S.A.,2
597,WACO CLASSIC AIRCRAFT CORP.,2
598,WING,2
599,GRENIER RAYMOND,2
600,NICKEL,2
601,MOORE,2
602,UNIVAIR,2
603,BAGLEY CURTIS LYNN,2
604,BAKENG,2
605,FAIRCHILD(HOWARD),2
606,ROCKWELL INTL.,2
607,NOKES MATTHEW,1
608,DELWYN SCHMIDT,1
609,BRISTELL,1
610,WOODROW LARRY W,1
611,FACEBOOK UK LTD,1
612,RANDALL W GRANDPRE,1
613,CONSOLIDATED  AERONAUTICS INC.,1
614,HUBBARD WILLIAM H,1
615,BUTTERHOF ANTHONY J,1
